_id,industries
BQwjvXEgcIOthbWKiym5Nw_0000,[]
UuUKyMQ3vJWD93dkbpdJCg_0000,"[{""name"":""publishing"",""is_primary"":true}]"
3xQT-W78C-BQmJQaknRYHg_0000,"[{""name"":""real estate"",""is_primary"":true}]"
T8C5kO-e6OfAe7KCx2Lrsg_0000,"[{""name"":""entertainment"",""is_primary"":true}]"
4JhGcrxSCdl1DX7-7i9qqQ_0000,[]
Yaj8-qi9cfd-O0jtVKIXvw_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
NBmSJYJEAQS3y-PDZBiUtA_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
H1AARS54MQjeti7GW7czfw_0000,"[{""name"":""retail"",""is_primary"":true}]"
K-fdJtKaUZMlEw5sSoCvUA_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
URprRYa2zmnjBTBzOIvUjA_0000,"[{""name"":""financial services"",""is_primary"":true}]"
GD3vlZaaEEmWtjUHMxllgA_0000,"[{""name"":""education management"",""is_primary"":true}]"
QM10nawhIZHRC1cXvBSXew_0000,"[{""name"":""luxury goods & jewelry"",""is_primary"":true}]"
uBHrnYPY13ogCowbP-TPJQ_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
HYqED6wu7DWBBFTGPvlT5w_0000,"[{""name"":""health, wellness and fitness"",""is_primary"":true}]"
E-aiYhyCBDfJKNkkBZh6IQ_0000,"[{""name"":""health, wellness and fitness"",""is_primary"":true}]"
0AErpmbQgJcQPr72awFV5Q_0000,[]
GaPyIa1XGU8ZsbikpYmBsw_0000,"[{""name"":""education management"",""is_primary"":true}]"
1sAOg3IBrsNohtqjgbHu4w_0000,"[{""name"":""retail"",""is_primary"":true}]"
8H-u5ZJxZrFLfUXYpLqmLw_0000,"[{""name"":""facilities services"",""is_primary"":true}]"
IxRStRRmlrkWmGfRkl51Uw_0000,"[{""name"":""media production"",""is_primary"":true}]"
0WrUK6unDCGpBZIRFBsg0A_0000,"[{""name"":""accounting"",""is_primary"":true}]"
u8cyrgwxlJCW243xX109BA_0000,"[{""name"":""research"",""is_primary"":true}]"
VyyFu5lZSBUV3MdnYm7wsw_0000,"[{""name"":""mechanical or industrial engineering"",""is_primary"":true}]"
t9Je1tHZjAGAZpcbkFIBug_0000,"[{""name"":""insurance"",""is_primary"":true}]"
'-qjBQUmZITXrQ4zeOAOgHQ_0000,"[{""name"":""research"",""is_primary"":true}]"
k4MCLGGO92IhC0Js-11EiQ_0000,"[{""name"":""pharmaceuticals"",""is_primary"":true}]"
1HKO8DFED99OieNWEw0g4Q_0000,"[{""name"":""transportation/trucking/railroad"",""is_primary"":true}]"
'-nvGEZ1LhN1lBWRtStILHA_0000,[]
1RXf5JxY1q9OMLHnD1SohA_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
haBT6EOaCFruwXdl5dQUzg_0000,"[{""name"":""higher education"",""is_primary"":true}]"
oiNIPxJD-MZqoD-dNP6psA_0000,"[{""name"":""performing arts"",""is_primary"":true}]"
axwdr4JUDuyJMfs2Z0Xetg_0000,"[{""name"":""investment management"",""is_primary"":true}]"
zV0dF6qR65ilyCWc3jryBg_0000,"[{""name"":""legal services"",""is_primary"":true}]"
VbWNqZMBmM44vxCdoDdkvg_0000,"[{""name"":""broadcast media"",""is_primary"":true}]"
ieJ4zp96cp51IhdZHgL1zg_0000,[]
T-Bf4mxZaYeABVDugh13gQ_0000,"[{""name"":""apparel & fashion"",""is_primary"":true}]"
rQ57DdyfG79Dv35Ak2NXbw_0000,"[{""name"":""pharmaceuticals"",""is_primary"":true}]"
